Country,Keywords_1,Keywords_2,Keywords_3,Keywords_4
Australia,.gov.au,,,
Austria,.gv.at,.gov,.org,
Belgium,.be,.gov,,
Canada,.gc.ca,.gov,,
Chile,.gob.cl,.gov,.itu,
Colombia,.co,.gov,.dtic,
Czech Republic,.cz,.gov,.org,
Denmark,.dk,.gov,.org,.eu
Estonia,.ee,.gov,.org,.eu
Finland,.fi,.gov,.org,.eu
France,.fr,.gov,.org,.eu
Germany,.de,.gov,.org,
Greece,.gr,.gov,.eu,
Hungary,.hu,.gov,.org,.eu
Iceland,.is,.gov,.org,
Ireland,.ie,.gov,.org,.eu
Israel,.il,.gov,.org,
Italy,.it,.gov,.org,.eu
Japan,.jp,.gov,.org,
South Korea,.kr,.gov,.org,.itu
Lithuania,.lt,.gov,.org,.eu
Luxembourg,.lu,.gov,.org,.eu
Latvia,.lv,.gov,.org,.eu
Mexico,.mx,.gov,.org,
Netherlands,.nl,.gov,.org,.eu
New Zealand,.nz,.gov,.org,.eu
Norway,.no,.gov,.org,
Poland,.pl,.gov,.org,.eu
Portugal,.pt,.gov,.org,.eu
Slovenia,.si,.gov,.org,.eu
Slovakia,.sk,.gov,.org,.eu
Spain,.es,.gov,.org,.eu
Sweden,.se,.gov,.org,.eu
Switzerland,.ch,.gov,.org,.eu
Turkey,.tr,.gov,.org,
United Kingdom,.uk,.gov,.org,
Argentina,.gob.ar,.gov,.org,
Brazil,.br,.gov,.org,
China,.gov.cn,.cn,.org,
India,.in,.gov,.org,
Indonesia,.id,.gov,.org,.com
Russia,.ru,.gov,.org,
Saudi Arabia,.sa,.gov,.org,
South Africa,.za,.gov,.org,
Turkey,.tr,.gov,.org,
United States of America,.us,.gov,.org,
European Union,.eu,.gov,.org,
Philippines,.ph,.gov,.org,
Hong Kong,.hk,.gov,.org,
Singapore,.sg,.gov,.org,
